time	ensayo	nombre	x	y	angulo
1558641437235	0	HA1	0	0	90
1558641439605	0	HA1	0	0	135
1558641441710	0	HA1	0	0	180
1558641443973	0	HA1	0	0	225
1558641445955	0	HA1	0	0	270
1558641448123	0	HA1	0	0.1	270
1558641450262	0	HA1	0	0.2	270
1558641452324	0	HA1	0	0.2	315
1558641454377	0	HA1	0	0.2	270
1558641456367	0	HA1	0	0.2	315
1558641458383	0	HA1	0.1	0.3	315
1558641460574	0	HA1	0.1	0.3	0
1558641462828	0	HA1	0.1	0.3	45
1558641464977	0	HA1	0.1	0.3	135
1558641467198	0	HA1	0.1	0.3	180
1558641469493	0	HA1	0.1	0.3	225
1558641471680	0	HA1	0.1	0.3	180
1558641473713	0	HA1	0	0.3	180
1558641475709	0	HA1	0	0.3	90
1558641477373	0	HA1	0	0.3	45
1558641479289	0	HA1	0	0.3	0
1558641481442	0	HA1	0	0.3	315
1558641483587	0	HA1	0	0.3	270
1558641485740	0	HA1	0	0.3	315
1558641487943	0	HA1	0	0.3	0
1558641489887	0	HA1	0.1	0.3	0
1558641491853	0	HA1	0.2	0.3	0
1558641494107	0	HA1	0.2	0.3	315
1558641496078	0	HA1	0.2	0.3	45
1558641498363	0	HA1	0.2	0.3	0
1558641500792	0	HA1	0.3	0.3	0
1558641503083	0	HA1	0.3	0.3	315
1558641505539	0	HA1	0.3	0.3	270
1558641507728	0	HA1	0.3	0.3	225
1558641509713	0	HA1	0.3	0.3	180
1558641511907	0	HA1	0.3	0.3	135
1558641513969	0	HA1	0.3	0.3	90
1558641515919	0	HA1	0.3	0.3	45
1558641517932	0	HA1	0.4	0.2	45
1558641520130	0	HA1	0.4	0.2	90
1558641522315	0	HA1	0.4	0.2	135
1558641524651	0	HA1	0.4	0.2	180
1558641526772	0	HA1	0.4	0.2	225
1558641528873	0	HA1	0.4	0.2	270
1558641531211	0	HA1	0.4	0.2	315
1558641533467	0	HA1	0.4	0.2	0
1558641535521	0	HA1	0.5	0.2	0
1558641537691	0	HA1	0.5	0.2	45
1558641540007	0	HA1	0.5	0.2	90
1558641542134	0	HA1	0.5	0.2	135
1558641544390	0	HA1	0.5	0.2	180
1558641546365	0	HA1	0.5	0.2	225
1558641548344	0	HA1	0.4	0.3	225
1558641550584	0	HA1	0.4	0.3	180
1558641552556	0	HA1	0.4	0.3	135
1558641554743	0	HA1	0.3	0.2	135
1558641556803	0	HA1	0.3	0.2	90
1558641558856	0	HA1	0.3	0.1	90
1558641561011	0	HA1	0.3	0.1	45
1558641563107	0	HA1	0.3	0.1	90
1558641565286	0	HA1	0.3	0.1	45
1558641567265	0	HA1	0.3	0.1	90
1558641569261	0	HA1	0.3	0.1	45
1558641571237	0	HA1	0.3	0.1	90
1558641573211	0	HA1	0.3	0	90
1558641575341	0	HA1	0.3	0	45
1558641577299	0	HA1	0.3	0	0
1558641579484	0	HA1	0.3	0	315
1558641581549	0	HA1	0.3	0	270
1558641583694	0	HA1	0.3	0	315
1558641585196	0	HA1	0.3	0	0
1558641586912	0	HA1	0.4	0	0
1558641588582	0	HA1	0.5	0	0
1558641590524	0	HA1	0.5	0	315
1558641592620	0	HA1	0.5	0	45
1558641594549	0	HA1	0.5	0	0
1558641596306	0	HA1	0.6	0	0
1558641598286	0	HA1	0.6	0	270
1558641600220	0	HA1	0.6	0	225
1558641602164	0	HA1	0.6	0	180
1558641604012	0	HA1	0.6	0	135
1558641605927	0	HA1	0.5	-0.1	135
1558641608190	0	HA1	0.5	-0.1	180
1558641610212	0	HA1	0.5	-0.1	225
1558641612051	0	HA1	0.4	0	225
1558641614282	0	HA1	0.4	0	180
1558641616544	0	HA1	0.3	0	180
1558641618944	0	HA1	0.3	0	90
1558641621259	0	HA1	0.3	0	45
1558641623366	0	HA1	0.4	-0.1	45
1558641625536	0	HA1	0.4	-0.1	0
1558641627715	0	HA1	0.4	-0.1	315
1558641629976	0	HA1	0.4	-0.1	270
1558641632469	0	HA1	0.4	-0.1	225
1558641634908	0	HA1	0.4	-0.1	180
1558641637591	0	HA1	0.4	-0.1	135
1558641640074	0	HA1	0.3	-0.2	135
1558641642608	0	HA1	0.3	-0.2	45
1558641644428	0	HA1	0.3	-0.2	90
1558641646676	0	HA1	0.3	-0.3	90
1558641648668	0	HA1	0.3	-0.3	45
1558641650845	0	HA1	0.3	-0.3	0
1558641652601	0	HA1	0.3	-0.3	315
1558641654863	0	HA1	0.4	-0.2	315
1558641657095	0	HA1	0.4	-0.2	0
1558641659226	0	HA1	0.4	-0.2	45
1558641661601	0	HA1	0.4	-0.2	90
1558641663924	0	HA1	0.4	-0.2	135
1558641665999	0	HA1	0.4	-0.2	180
1558641668297	0	HA1	0.4	-0.2	225
1558641670556	0	HA1	0.3	-0.1	225
1558641672567	0	HA1	0.3	-0.1	315
1558641674758	0	HA1	0.3	-0.1	270
1558641676933	0	HA1	0.3	-0.1	315
1558641679156	0	HA1	0.3	-0.1	270
1558641681349	0	HA1	0.3	-0.1	315
1558641683459	0	HA1	0.3	-0.1	270
1558641685468	0	HA1	0.3	0	270
1558641687670	0	HA1	0.3	0	315
1558641689921	0	HA1	0.4	0.1	315
1558641692148	0	HA1	0.4	0.1	0
1558641694508	0	HA1	0.4	0.1	45
1558641696804	0	HA1	0.4	0.1	90
1558641699036	0	HA1	0.4	0.1	135
1558641701106	0	HA1	0.4	0.1	180
1558641703289	0	HA1	0.4	0.1	225
1558641705415	0	HA1	0.3	0.2	225
1558641707449	0	HA1	0.3	0.2	270
1558641709413	0	HA1	0.3	0.3	270
1558641711539	0	HA1	0.3	0.3	225
1558641713567	0	HA1	0.2	0.4	225
1558641715545	0	HA1	0.2	0.4	180
1558641717674	0	HA1	0.2	0.4	135
1558641719720	0	HA1	0.2	0.4	90
1558641721813	0	HA1	0.2	0.4	45
1558641723983	0	HA1	0.2	0.4	0
1558641726139	0	HA1	0.2	0.4	315
1558641728286	0	HA1	0.2	0.4	270
1558641730313	0	HA1	0.2	0.5	270
1558641732316	0	HA1	0.2	0.5	315
1558641734387	0	HA1	0.2	0.5	0
1558641736480	0	HA1	0.2	0.5	45
1558641738457	0	HA1	0.2	0.5	90
1558641740789	0	HA1	0.2	0.5	135
1558641743175	0	HA1	0.2	0.5	180
1558641745281	0	HA1	0.1	0.5	180
1558641747306	0	HA1	0.1	0.5	135
1558641749686	0	HA1	0.1	0.5	90
1558641751933	0	HA1	0.1	0.5	45
1558641754055	0	HA1	0.1	0.5	0
1558641756040	0	HA1	0.1	0.5	315
1558641758053	0	HA1	0.1	0.5	270
1558641760075	0	HA1	0.1	0.6	270
1558641762090	0	HA1	0.1	0.6	180
1558641764114	0	HA1	0.1	0.6	135
1558641766217	0	HA1	0.1	0.6	90
1558641768377	0	HA1	0.1	0.6	45
1558641770440	0	HA1	0.2	0.5	45
1558641772448	0	HA1	0.2	0.5	90
1558641774509	0	HA1	0.2	0.4	90
1558641776515	0	HA1	0.2	0.4	135
1558641778452	0	HA1	0.1	0.3	135
1558641780370	0	HA1	0	0.2	135
1558641782635	0	HA1	0	0.2	90
1558641784611	0	HA1	0	0.1	90
1558641786616	0	HA1	0	0.1	135
