time	ensayo	nombre	x	y	angulo
1590591307047	0	HA1	0	0	90
1590591309056	0	HA1	0	0	45
1590591310739	0	HA1	0	0	0
1590591312384	0	HA1	0	0	315
1590591314515	0	HA1	0	0	270
1590591316084	0	HA1	0	0	225
1590591317707	0	HA1	0	0	180
1590591318765	0	HA1	0	0	135
1590591319869	0	HA1	-0.1	-0.1	135
1590591321681	0	HA1	-0.1	-0.1	180
1590591322855	0	HA1	-0.1	-0.1	225
1590591324030	0	HA1	-0.1	-0.1	270
1590591325787	0	HA1	-0.1	-0.1	315
1590591327634	0	HA1	-0.1	-0.1	0
1590591793442	0	HA1	-0.1	-0.1	45
1590591795117	0	HA1	-0.1	-0.1	90
1590591796811	0	HA1	-0.1	-0.1	180
1590591798516	0	HA1	-0.2	-0.1	180
1590591800361	0	HA1	-0.2	-0.1	225
1590591801553	0	HA1	-0.2	-0.1	270
1590591803496	0	HA1	-0.2	-0.1	315
1590591805381	0	HA1	-0.2	-0.1	0
1590591806617	0	HA1	-0.2	-0.1	45
1590591807858	0	HA1	-0.2	-0.1	90
1590591809147	0	HA1	-0.2	-0.1	135
1590591810370	0	HA1	-0.3	-0.2	135
1590591812289	0	HA1	-0.3	-0.2	180
1590591814318	0	HA1	-0.3	-0.2	90
1590591816336	0	HA1	-0.3	-0.2	45
1590591817561	0	HA1	-0.3	-0.2	0
1590591818796	0	HA1	-0.3	-0.2	315
1590591820079	0	HA1	-0.3	-0.2	270
1590591822015	0	HA1	-0.3	-0.2	225
1590591824089	0	HA1	-0.4	-0.1	225
1590591826044	0	HA1	-0.4	-0.1	135
1590591827325	0	HA1	-0.4	-0.1	180
1590591829354	0	HA1	-0.4	-0.1	270
1590591831493	0	HA1	-0.4	-0.1	225
1590591832770	0	HA1	-0.4	-0.1	135
1590591834862	0	HA1	-0.4	-0.1	225
1590591836922	0	HA1	-0.4	-0.1	135
1590591838301	0	HA1	-0.4	-0.1	225
1590591839636	0	HA1	-0.4	-0.1	135
1590591841684	0	HA1	-0.4	-0.1	180
1590591843780	0	HA1	-0.4	-0.1	270
1590591845093	0	HA1	-0.4	-0.1	225
1590591846556	0	HA1	-0.4	-0.1	135
1590591848744	0	HA1	-0.4	-0.1	180
1590591850899	0	HA1	-0.4	-0.1	270
1590591852276	0	HA1	-0.4	-0.1	225
1590591853595	0	HA1	-0.4	-0.1	135
1590591854971	0	HA1	-0.4	-0.1	225
1590591856300	0	HA1	-0.4	-0.1	135
1590591858467	0	HA1	-0.4	-0.1	225
1590591859917	0	HA1	-0.4	-0.1	135
1590591861328	0	HA1	-0.4	-0.1	225
1590591862656	0	HA1	-0.4	-0.1	135
1590591863987	0	HA1	-0.4	-0.1	180
1590591866189	0	HA1	-0.4	-0.1	270
1590591868502	0	HA1	-0.4	-0.1	225
1590591869848	0	HA1	-0.4	-0.1	135
1590591871268	0	HA1	-0.4	-0.1	225
1590591872628	0	HA1	-0.4	-0.1	135
1590591874051	0	HA1	-0.4	-0.1	180
1590591875441	0	HA1	-0.4	-0.1	270
1590591877742	0	HA1	-0.4	-0.1	225
1590591879983	0	HA1	-0.4	-0.1	135
1590591881343	0	HA1	-0.4	-0.1	225
1590591882730	0	HA1	-0.4	-0.1	135
1590591884140	0	HA1	-0.4	-0.1	180
1590591886467	0	HA1	-0.4	-0.1	270
1590591887826	0	HA1	-0.4	-0.1	225
1590591889309	0	HA1	-0.4	-0.1	135
1590591891659	0	HA1	-0.4	-0.1	180
1590591893056	0	HA1	-0.4	-0.1	270
1590591894524	0	HA1	-0.4	-0.1	225
1590591896865	0	HA1	-0.4	-0.1	135
1590591898268	0	HA1	-0.4	-0.1	225
1590591899716	0	HA1	-0.4	-0.1	135
1590591901126	0	HA1	-0.4	-0.1	225
1590591902506	0	HA1	-0.4	-0.1	135
1590591903964	0	HA1	-0.4	-0.1	225
1590591905339	0	HA1	-0.4	-0.1	135
1590591906754	0	HA1	-0.4	-0.1	180
1590591908225	0	HA1	-0.4	-0.1	270
1590591909712	0	HA1	-0.4	-0.1	225
1590591911117	0	HA1	-0.4	-0.1	135
1590591912545	0	HA1	-0.4	-0.1	180
1590591913926	0	HA1	-0.4	-0.1	270
1590591916272	0	HA1	-0.4	-0.1	225
1590591917672	0	HA1	-0.4	-0.1	135
1590591919146	0	HA1	-0.4	-0.1	180
1590591920619	0	HA1	-0.4	-0.1	270
1590591922020	0	HA1	-0.4	-0.1	225
1590591923448	0	HA1	-0.4	-0.1	135
1590591925830	0	HA1	-0.4	-0.1	180
1590591927240	0	HA1	-0.4	-0.1	270
1590591928672	0	HA1	-0.4	-0.1	225
1590591930133	0	HA1	-0.4	-0.1	135
1590591932535	0	HA1	-0.4	-0.1	180
1590591933963	0	HA1	-0.4	-0.1	270
1590591935498	0	HA1	-0.4	-0.1	225
1590591937898	0	HA1	-0.4	-0.1	135
1590591940287	0	HA1	-0.4	-0.1	225
1590591941765	0	HA1	-0.4	-0.1	135
1590591943340	0	HA1	-0.4	-0.1	225
1590591944821	0	HA1	-0.4	-0.1	135
1590591947239	0	HA1	-0.4	-0.1	225
1590591948612	0	HA1	-0.4	-0.1	135
1590591950055	0	HA1	-0.4	-0.1	180
1590591952380	0	HA1	-0.4	-0.1	270
1590591953809	0	HA1	-0.4	-0.1	225
1590591956281	0	HA1	-0.4	-0.1	135
1590591957833	0	HA1	-0.4	-0.1	180
1590591960336	0	HA1	-0.4	-0.1	270
1590591961943	0	HA1	-0.4	-0.1	225
1590591963414	0	HA1	-0.4	-0.1	135
1590591964896	0	HA1	-0.4	-0.1	225
1590591966419	0	HA1	-0.4	-0.1	135
1590591967904	0	HA1	-0.4	-0.1	180
1590591969429	0	HA1	-0.4	-0.1	270
1590591970986	0	HA1	-0.4	-0.1	225
1590591972447	0	HA1	-0.4	-0.1	135
1590591973981	0	HA1	-0.4	-0.1	180
1590591975442	0	HA1	-0.4	-0.1	270
