time	ensayo	nombre	x	y	angulo
1562216955874	0	HA1	0	0	90
1562216960342	0	HA1	0	0	135
1562216963281	0	HA1	0	0	180
1562216964451	0	HA1	0	0	225
1562216965623	0	HA1	0	0	270
1562216968154	0	HA1	0	0	315
1562216972373	0	HA1	0	0	0
1562216975807	0	HA1	0	0	45
1562216977865	0	HA1	0.1	-0.1	45
1562216980154	0	HA1	0.1	-0.1	0
1562216982393	0	HA1	0.1	-0.1	315
1562216986389	0	HA1	0.1	-0.1	270
1562216990027	0	HA1	0.1	-0.1	225
1562216992690	0	HA1	0.1	-0.1	180
1562216995167	0	HA1	0.1	-0.1	135
1562216997658	0	HA1	0.1	-0.1	90
1562217000133	0	HA1	0.1	-0.2	90
1562217002639	0	HA1	0.1	-0.2	135
1562217008851	0	HA1	0.1	-0.2	180
1562217011408	0	HA1	0.1	-0.2	225
1562217013084	0	HA1	0.1	-0.2	270
1562217015644	0	HA1	0.1	-0.2	315
1562217021196	0	HA1	0.1	-0.2	0
1562217023716	0	HA1	0.1	-0.2	45
1562217026288	0	HA1	0.2	-0.3	45
1562217028918	0	HA1	0.2	-0.3	90
1562217031554	0	HA1	0.2	-0.3	0
1562217034154	0	HA1	0.2	-0.3	315
1562217036844	0	HA1	0.2	-0.3	270
1562217039583	0	HA1	0.2	-0.3	225
1562217043653	0	HA1	0.2	-0.3	180
1562217046529	0	HA1	0.2	-0.3	135
1562217049297	0	HA1	0.2	-0.3	90
1562217051099	0	HA1	0.2	-0.3	45
1562217053988	0	HA1	0.2	-0.3	90
1562217057059	0	HA1	0.2	-0.3	45
1562217059816	0	HA1	0.2	-0.3	90
1562217061599	0	HA1	0.2	-0.3	45
1562217064475	0	HA1	0.2	-0.3	135
1562217067382	0	HA1	0.2	-0.3	90
1562217070253	0	HA1	0.2	-0.3	45
1562217073125	0	HA1	0.2	-0.3	135
1562217076047	0	HA1	0.1	-0.4	135
1562217077753	0	HA1	0.1	-0.4	45
1562217080631	0	HA1	0.1	-0.4	90
1562217082393	0	HA1	0.1	-0.4	180
1562217085291	0	HA1	0.1	-0.4	135
1562217087134	0	HA1	0.1	-0.4	45
1562217090101	0	HA1	0.1	-0.4	90
1562217093084	0	HA1	0.1	-0.4	180
1562217096057	0	HA1	0.1	-0.4	135
1562217100218	0	HA1	0.1	-0.4	45
1562217103233	0	HA1	0.1	-0.4	135
1562217106219	0	HA1	0.1	-0.4	45
1562217109275	0	HA1	0.1	-0.4	90
1562217112316	0	HA1	0.1	-0.4	180
1562217115586	0	HA1	0.1	-0.4	135
1562217117528	0	HA1	0.1	-0.4	45
1562217122021	0	HA1	0.1	-0.4	90
1562217125180	0	HA1	0.1	-0.4	180
1562217127132	0	HA1	0.1	-0.4	135
1562217130443	0	HA1	0.1	-0.4	45
1562217134950	0	HA1	0.1	-0.4	90
1562217138313	0	HA1	0.1	-0.4	180
1562217141943	0	HA1	0.1	-0.4	135
1562217145305	0	HA1	0.1	-0.4	45
1562217150050	0	HA1	0.1	-0.4	135
1562217153362	0	HA1	0.1	-0.4	45
1562217156793	0	HA1	0.1	-0.4	135
1562217160087	0	HA1	0.1	-0.4	45
1562217163471	0	HA1	0.1	-0.4	90
1562217166883	0	HA1	0.1	-0.4	180
1562217168875	0	HA1	0.1	-0.4	135
1562217170809	0	HA1	0.1	-0.4	45
1562217174167	0	HA1	0.1	-0.4	135
1562217177533	0	HA1	0.1	-0.4	45
1562217180981	0	HA1	0.1	-0.4	135
1562217184386	0	HA1	0.1	-0.4	45
1562217187788	0	HA1	0.1	-0.4	90
1562217191250	0	HA1	0.1	-0.4	180
1562217193374	0	HA1	0.1	-0.4	135
1562217196946	0	HA1	0.1	-0.4	45
1562217200491	0	HA1	0.1	-0.4	90
1562217204089	0	HA1	0.1	-0.4	180
1562217207666	0	HA1	0.1	-0.4	135
1562217211233	0	HA1	0.1	-0.4	45
1562217213287	0	HA1	0.1	-0.4	90
1562217216962	0	HA1	0.1	-0.4	180
1562217220311	0	HA1	0.1	-0.4	135
