time	ensayo	nombre	x	y	angulo
1558640215020	0	HA1	0	0	90
1558640217582	0	HA1	0	0	135
1558640220255	0	HA1	0	-0.1	180
1558640222406	0	HA1	0	-0.3	225
1558640225105	0	HA1	0	-0.3	270
1558640227500	0	HA1	0	-0.3	315
1558640230372	0	HA1	0.1	-0.2	315
1558640232745	0	HA1	0.1	-0.2	270
1558640235599	0	HA1	0.1	-0.2	225
1558640238068	0	HA1	0.1	-0.2	180
1558640240261	0	HA1	0.1	-0.2	135
1558640242908	0	HA1	0.1	-0.2	90
1558640245071	0	HA1	0.1	-0.2	45
1558640247079	0	HA1	0.1	-0.2	0
1558640249859	0	HA1	0.2	-0.2	0
1558640252171	0	HA1	0.2	-0.2	45
1558640254386	0	HA1	0.2	-0.2	90
1558640257054	0	HA1	0.2	-0.2	135
1558640259244	0	HA1	0.2	-0.2	180
1558640261657	0	HA1	0.2	-0.2	225
1558640265528	0	HA1	0.2	-0.2	270
1558640267754	0	HA1	0.2	-0.2	315
1558640270530	0	HA1	0.3	-0.1	315
1558640273390	0	HA1	0.3	-0.1	0
1558640275621	0	HA1	0.3	-0.1	45
1558640277834	0	HA1	0.3	-0.1	90
1558640280953	0	HA1	0.3	-0.1	135
1558640282910	0	HA1	0.3	-0.1	180
1558640285410	0	HA1	0.3	-0.1	225
1558640287979	0	HA1	0.3	-0.1	270
1558640291072	0	HA1	0.3	-0	270
1558640294213	0	HA1	0.3	-0	315
1558640296623	0	HA1	0.3	-0	0
1558640298887	0	HA1	0.3	-0	45
1558640301150	0	HA1	0.3	-0	90
1558640303526	0	HA1	0.3	-0	135
1558640305720	0	HA1	0.3	-0	180
1558640307777	0	HA1	0.2	-0	180
1558640310018	0	HA1	0.2	-0	135
1558640311649	0	HA1	0.2	-0	90
1558640313319	0	HA1	0.2	-0	45
1558640316569	0	HA1	0.2	-0	0
1558640318274	0	HA1	0.2	-0	315
1558640320105	0	HA1	0.2	-0	270
1558640322523	0	HA1	0.2	-0	225
1558640325202	0	HA1	0.1	0.1	225
1558640326935	0	HA1	0.1	0.1	270
1558640329456	0	HA1	0.1	0.1	315
1558640331822	0	HA1	0.1	0.1	0
1558640334539	0	HA1	0.1	0.1	45
1558640336908	0	HA1	0.1	0.1	90
1558640339190	0	HA1	0.1	0.1	135
1558640341507	0	HA1	0.1	0.1	180
1558640343860	0	HA1	0	0.1	180
1558640345899	0	HA1	0	0.1	225
1558640348216	0	HA1	0	0.1	270
1558640351724	0	HA1	0	0.1	315
1558640355148	0	HA1	0	0.1	0
1558640357626	0	HA1	0	0.1	45
1558640360221	0	HA1	0	0.1	90
1558640363547	0	HA1	0	0.1	135
1558640365783	0	HA1	-0.1	-0	135
1558640367975	0	HA1	-0.1	-0	90
1558640371164	0	HA1	-0.1	-0	45
1558640373526	0	HA1	-0.1	-0	0
1558640375854	0	HA1	-0.1	-0	315
1558640378128	0	HA1	-0.1	-0	270
1558640380636	0	HA1	-0.1	-0	225
1558640382985	0	HA1	-0.1	-0	180
1558640385247	0	HA1	-0.2	-0	180
1558640387531	0	HA1	-0.2	-0	135
1558640390797	0	HA1	-0.2	-0	90
1558640393899	0	HA1	-0.2	-0	45
1558640395660	0	HA1	-0.2	-0	0
1558640397156	0	HA1	-0.2	-0	315
1558640399128	0	HA1	-0.2	-0	270
1558640401197	0	HA1	-0.2	-0	225
1558640403511	0	HA1	-0.3	0.1	225
1558640405978	0	HA1	-0.3	0.1	180
1558640409412	0	HA1	-0.3	0.1	135
1558640412700	0	HA1	-0.3	0.1	90
1558640416071	0	HA1	-0.3	0.1	45
1558640418947	0	HA1	-0.3	0.1	0
1558640421340	0	HA1	-0.3	0.1	315
1558640424611	0	HA1	-0.3	0.1	270
1558640426557	0	HA1	-0.3	0.2	270
1558640428740	0	HA1	-0.3	0.2	315
1558640430324	0	HA1	-0.3	0.2	0
1558640432606	0	HA1	-0.3	0.2	45
1558640435203	0	HA1	-0.3	0.2	90
1558640439500	0	HA1	-0.3	0.2	135
1558640441370	0	HA1	-0.3	0.2	180
1558640443610	0	HA1	-0.3	0.2	135
1558640445770	0	HA1	-0.4	0.1	135
1558640448378	0	HA1	-0.4	0.1	90
1558640450713	0	HA1	-0.4	0.1	45
1558640452835	0	HA1	-0.4	0.1	0
1558640455519	0	HA1	-0.4	0.1	315
1558640458070	0	HA1	-0.3	0.2	315
1558640461143	0	HA1	-0.3	0.2	0
1558640463413	0	HA1	-0.2	0.2	0
