time	ensayo	nombre	x	y	angulo
1558641325535	0	HA1	0	0	90
1558641328027	0	HA1	0	0	45
1558641329948	0	HA1	0	0	0
1558641332106	0	HA1	0	0	315
1558641334191	0	HA1	0	0	270
1558641336265	0	HA1	0	0	225
1558641338451	0	HA1	0	0	180
1558641340580	0	HA1	0	0	135
1558641342730	0	HA1	-0.1	-0.1	135
1558641344896	0	HA1	-0.1	-0.1	225
1558641351238	0	HA1	-0.1	-0.1	270
