-60.06	59.39		"min"	-83.23	-86.81
-60.06	59.39		"max"	86.34	88.11
-59.65	58.19				
-59.65	58.19				
-59.25	56.98				
-59.25	56.98				
-60.46	57.39				
-60.19	57.56				
-60.2	57.4				
-60.23	57.18				
-60.3	57.04				
-60.24	56.77				
-60.19	56.57				
-60.18	56.44				
-60.08	56.27				
-59.94	56.09				
-59.75	55.92				
-59.49	55.82				
-59.16	55.74				
-58.82	55.8				
-58.47	55.89				
-58.14	56.04				
-57.79	56.21				
-57.59	56.28				
-57.4	56.36				
-57.26	56.44				
-57.17	56.52				
-57.15	56.59				
-57.18	56.67				
-56.8	57.1				
-56.42	57.55				
-55.96	58.05				
-55.49	58.52				
-55.03	58.97				
-54.6	59.37				
-54.17	59.75				
-53.78	60.09				
-53.31	60.37				
-52.83	60.64				
-52.38	61.03				
-51.96	61.4				
-51.54	61.84				
-51.07	62.35				
-50.57	62.95				
-50.06	63.57				
-49.66	64.21				
-49.26	64.88				
-48.76	65.43				
-48.25	65.99				
-47.73	66.5				
-47.22	66.94				
-46.7	67.32				
-46.18	67.68				
-45.63	68.07				
-45.06	68.44				
-44.58	68.83				
-44.09	69.21				
-43.69	69.64				
-43.35	70.05				
-43.17	70.26				
-43	70.49				
-42.87	70.64				
-42.75	70.81				
-42.73	70.9				
-42.75	70.99				
-42.55	71.18				
-42.38	71.35				
-42.06	71.67				
-41.78	71.94				
-41.44	72.17				
-41.13	72.38				
-40.65	72.47				
-40.2	72.56				
-39.99	72.59				
-39.74	72.62				
-39.53	72.63				
-39.28	72.62				
-39.12	72.58				
-38.94	72.51				
-39.09	72.55				
-39.39	72.59				
-39.3	72.59				
-39.24	72.58				
-39.19	72.57				
-39.18	72.57				
-37.68	73.33				
-36.37	74.01				
-35.13	74.58				
-33.98	75.1				
-32.8	75.74				
-31.71	76.33				
-31.14	76.62				
-30.52	76.94				
-30.2	77.09				
-29.92	77.23				
-29.72	77.39				
-29.58	77.54				
-28.73	77.88				
-27.91	78.18				
-27.55	78.36				
-27.23	78.52				
-26.89	78.67				
-26.56	78.83				
-26.21	78.99				
-25.83	79.16				
-26.11	79.02				
-26.63	78.79				
-26.49	78.86				
-26.39	78.9				
-24.91	79.66				
-23.64	80.31				
-22.47	80.88				
-21.39	81.38				
-20.34	81.85				
-19.33	82.31				
-18.34	82.64				
-17.43	82.95				
-16.71	83.06				
-16.04	83.13				
-15.39	83.2				
-14.77	83.26				
-14.18	83.31				
-13.58	83.35				
-13.02	83.26				
-12.49	83.15				
-12.23	83.16				
-11.97	83.17				
-11.74	83.15				
-11.56	83.09				
-11.43	82.97				
-11.39	82.77				
-11.48	82.87				
-11.69	83.02				
-10.49	83.02				
-9.45	83.01				
-8.46	82.92				
-7.57	82.85				
-6.77	82.89				
-6.03	82.95				
-5.32	82.96				
-4.63	82.97				
-4.1	82.97				
-3.54	82.99				
-2.99	83.02				
-2.47	83.06				
-1.89	83.01				
-1.32	82.97				
-0.74	82.89				
-0.15	82.8				
0.47	82.78				
1.05	82.75				
1.66	82.76				
2.29	82.76				
2.91	82.78				
3.62	82.81				
4.37	82.86				
5.13	82.92				
5.81	82.93				
6.5	82.94				
6.84	82.95				
7.21	82.95				
7.52	82.94				
7.74	82.91				
7.82	82.94				
7.86	82.97				
8.62	83.02				
9.39	83.07				
10.32	83.21				
11.19	83.4				
12.01	83.25				
12.76	83.11				
13.51	82.97				
14.2	82.85				
14.81	82.6				
15.42	82.32				
15.73	82.12				
16	81.79				
16.21	81.73				
16.41	81.66				
16.52	81.59				
16.58	81.51				
16.49	81.58				
16.28	81.71				
17.4	81.33				
18.36	81.03				
19.41	80.88				
20.34	80.76				
21.36	80.51				
22.29	80.3				
23.22	80.12				
24.1	79.94				
24.9	79.82				
25.68	79.71				
26.29	79.61				
26.87	79.51				
27.29	79.39				
27.68	79.27				
27.98	79.13				
28.23	79				
28.38	78.87				
28.48	78.73				
28.59	78.43				
28.68	78.12				
28.72	77.95				
28.74	77.78				
28.68	77.59				
28.6	77.38				
28.62	77.1				
28.63	76.8				
28.69	76.64				
28.74	76.49				
28.93	76.2				
29.13	75.91				
29.42	75.61				
29.75	75.31				
30.11	75.11				
30.57	74.93				
31.06	74.7				
31.65	74.47				
32.23	74.35				
32.84	74.25				
33.52	74.18				
34.23	74.13				
34.93	74.14				
35.61	74.21				
36.28	74.03				
36.88	73.85				
37.43	73.63				
37.98	73.4				
38.51	73.21				
39.04	73.02				
39.54	72.7				
39.98	72.3				
40.41	72.22				
40.84	72.13				
41.28	72.03				
41.71	71.94				
42.08	71.83				
42.45	71.73				
42.78	71.74				
43.1	71.79				
43.38	71.81				
43.66	71.84				
43.82	71.96				
43.96	72.1				
44.03	72.25				
44.08	72.42				
44.14	72.52				
44.18	72.62				
44.18	72.73				
44.17	72.84				
44.22	72.9				
44.26	72.95				
44.33	72.97				
44.4	72.98				
44.47	73.03				
44.57	73.09				
44.7	73.14				
44.84	73.19				
44.97	73.24				
45.09	73.28				
45.25	73.22				
45.42	73.16				
45.57	73.09				
45.71	73.01				
45.83	72.81				
45.95	72.6				
46.07	72.4				
46.21	72.2				
46.33	72.11				
46.44	72.01				
46.49	71.87				
46.53	71.7				
46.55	71.68				
46.56	71.67				
46.56	71.69				
46.55	71.72				
46.53	71.77				
46.5	71.84				
46.48	71.82				
46.45	71.8				
46.39	71.72				
46.32	71.65				
46.25	71.55				
46.19	71.42				
46.12	71.27				
46.05	71.09				
46.05	71.09				
46.07	71.13				
46.16	70.95				
46.26	70.77				
46.36	70.6				
46.48	70.43				
46.61	70.26				
46.76	70.1				
46.89	69.9				
47	69.66				
47.08	69.55				
47.16	69.44				
47.25	69.35				
47.34	69.29				
47.34	69.09				
47.32	68.89				
47.31	68.68				
47.29	68.46				
47.28	68.33				
47.26	68.21				
47.24	68				
47.2	67.75				
47.25	67.63				
47.3	67.52				
47.29	67.38				
47.27	67.24				
47.24	67.06				
47.21	66.88				
47.16	66.8				
47.1	66.74				
47.06	66.65				
47.02	66.57				
47.03	66.46				
47.04	66.36				
46.95	66.28				
46.85	66.22				
46.77	66.1				
46.7	65.97				
46.62	65.85				
46.54	65.72				
46.46	65.62				
46.36	65.51				
46.4	65.35				
46.45	65.19				
46.57	64.97				
46.69	64.74				
46.83	64.48				
46.98	64.21				
47.18	63.96				
47.4	63.69				
47.6	63.37				
47.81	63.03				
47.94	62.61				
48.08	62.17				
48.13	61.8				
48.18	61.43				
48.17	60.88				
48.14	60.32				
48.13	59.88				
48.09	59.43				
47.97	59.11				
47.83	58.8				
47.7	58.41				
47.56	58.02				
47.44	57.75				
47.31	57.5				
47.13	57.2				
46.93	56.92				
46.8	56.61				
46.68	56.31				
46.59	56.06				
46.5	55.82				
46.33	55.51				
46.15	55.19				
45.98	54.92				
45.81	54.65				
45.77	54.39				
45.74	54.13				
45.68	53.84				
45.63	53.54				
45.71	53.36				
45.82	53.18				
45.97	53.04				
46.14	52.91				
46.11	52.81				
46.08	52.72				
46.08	52.7				
46.08	52.7				
46.14	52.73				
46.18	52.78				
46.23	52.77				
46.26	52.76				
46.4	52.78				
46.56	52.81				
46.64	52.82				
46.73	52.83				
46.8	52.81				
46.87	52.78				
46.88	52.75				
46.9	52.73				
46.93	52.72				
46.96	52.72				
47	52.74				
47.05	52.76				
47.01	52.76				
46.97	52.75				
46.97	52.78				
46.98	52.81				
46.93	52.87				
46.87	52.94				
46.86	52.97				
46.85	53.02				
